trait,farmcpu_p,farmcpu_effect
Soluble_Oxalate,0.0136634714669865,90.2290513477109
Phenol,0.0187730875412741,73.3752085325805
Flavonoid,0.111379951364976,15.5956202796226
Insoluble_Oxalate,0.149243501218917,-140.045793232203
Seed_Coat_Tannin,0.151055864412924,82.3712492469537
Antioxidant,0.186548764552208,33.1839581857395
Mass_of_Seeds,0.194746213619041,-0.0133210980958958
Seed_Width,0.26032452493189,-0.0957318914750376
Seed_Thickness,0.315863358889623,-0.0858453017118617
Seed_Length,0.483164139153693,0.0750008815556535
Total_Oxalate,0.583965576129715,-49.8167418844937
Tannin,0.821532598167873,-11.8446588016749
Crude_Protein,0.936658167356103,0.115859623326099
